period2,agegp,sex,acf,n,population,q_population,cnr,conf.low,conf.high
Post-ACF: y2,20-29,Female,Non-ACF,49,59819,59819,81.91377321586786,60.60621351075637,108.28006639935559
Post-ACF: y2,20-29,Male,ACF,54,26589,26589,203.09150400541577,152.6042847584207,264.90832233815803
Post-ACF: y2,20-29,Male,Non-ACF,88,55298,55298,159.13776266772757,127.65209988278663,196.0259675912936
Post-ACF: y2,30-39,Female,ACF,49,22591,22591,216.9005356115267,160.50596953597443,286.6538283061857
Post-ACF: y2,30-39,Female,Non-ACF,69,33601,33601,205.35103121930896,159.80941421773596,259.8139879549326
Post-ACF: y2,30-39,Male,ACF,107,18969,18969,564.0782329063209,462.49923967547295,681.2297748282181
Post-ACF: y2,30-39,Male,Non-ACF,155,41299,41299,375.311750889852,318.6395215497995,439.1265045366983
Post-ACF: y2,40-49,Female,ACF,23,8052,8052,285.6433184302037,181.1568791508492,428.2987958315848
Post-ACF: y2,40-49,Female,Non-ACF,28,17168,17168,163.09412861137,108.40137426090818,235.6308219086714
Post-ACF: y2,40-49,Male,ACF,54,8939,8939,604.0944177201029,454.13057254414133,787.485948233313
Post-ACF: y2,40-49,Male,Non-ACF,66,24218,24218,272.52456850276656,210.83126414012045,346.5893972412211
Post-ACF: y2,50+,Female,ACF,8,7102,7102,112.64432554210082,48.64397150063965,221.83293125347808
Post-ACF: y2,50+,Female,Non-ACF,19,13462,13462,141.13801812509286,84.99502395200834,220.3171391073147
Post-ACF: y2,50+,Male,ACF,18,6704,6704,268.49642004773267,159.20322111174968,424.0094096880192
Post-ACF: y2,50+,Male,Non-ACF,30,18482,18482,162.32009522778918,109.5426531675666,231.64160684176525
Pre-ACF,16-19,Female,ACF,10,9076,11345,88.14455707360071,42.276576715475684,162.04103934848519
Pre-ACF,16-19,Female,Non-ACF,8,29056,36320,22.026431718061676,9.509914103563206,43.39621313410948
Pre-ACF,16-19,Male,ACF,7,9511,11889,58.877954411641014,23.67516355120679,121.27322256911658
Pre-ACF,16-19,Male,Non-ACF,12,25166,31458,38.14609956131986,19.71215010081783,66.62406814350082
Pre-ACF,20-29,Female,ACF,48,25146,31432,152.71061338763045,112.61755427986792,202.42173151429117
Pre-ACF,20-29,Female,Non-ACF,110,57755,72194,152.36723273402222,125.24346849301044,183.61499345623358
Pre-ACF,20-29,Male,ACF,57,26106,32632,174.67516548173572,132.32328498527758,226.25349281823415
Pre-ACF,20-29,Male,Non-ACF,102,54294,67868,150.29174279483703,122.561061152776,182.41458405594176
Pre-ACF,30-39,Female,ACF,36,16563,20704,173.87944358578054,121.81182340934421,240.6419740415703
Pre-ACF,30-39,Female,Non-ACF,72,24634,30792,233.82696804364772,182.99880030215672,294.37705439077683
Pre-ACF,30-39,Male,ACF,57,16660,20825,273.7094837935174,207.36880112520754,354.47886038091167
Pre-ACF,30-39,Male,Non-ACF,140,36272,45340,308.77812086457874,259.81069491622156,364.2689538997062
Pre-ACF,40-49,Female,ACF,8,5922,7402,108.07889759524453,46.6719788777145,212.84685060300163
Pre-ACF,40-49,Female,Non-ACF,19,12626,15782,120.39031808389305,72.49790871509099,187.94083236743413
Pre-ACF,40-49,Male,ACF,28,6234,7792,359.3429158110883,238.90954211057235,518.9349315861906
Pre-ACF,40-49,Male,Non-ACF,71,16890,21112,336.3016294050777,262.74496049746574,424.0122193978939
Pre-ACF,50+,Female,ACF,10,5436,6795,147.16703458425312,70.59416067294082,270.4783342395892
Pre-ACF,50+,Female,Non-ACF,18,10305,12881,139.74070336154026,82.83956406796355,220.76098628814339
Pre-ACF,50+,Male,ACF,10,5571,6964,143.59563469270535,68.88048781020629,263.9184133888316
Pre-ACF,50+,Male,Non-ACF,38,15360,19200,197.91666666666669,140.09450883811317,271.55590667327436
